Store_ID,Date_time,Sales
1,2021-06-01,1307.0
2,2021-06-01,1083.0
3,2021-06-01,
4,2021-06-01,996.0
5,2021-06-01,1642.0
6,2021-06-01,3792.0
7,2021-06-01,2198.0
8,2021-06-01,758.0
9,2021-06-01,1711.0
10,2021-06-01,2056.0
1,2021-06-02,1165.0
2,2021-06-02,982.0
3,2021-06-02,1064.0
4,2021-06-02,839.0
5,2021-06-02,1533.0
6,2021-06-02,3357.0
7,2021-06-02,1885.0
8,2021-06-02,858.0
9,2021-06-02,1401.0
10,2021-06-02,1975.0
1,2021-06-03,1062.0
2,2021-06-03,948.0
3,2021-06-03,955.0
4,2021-06-03,799.0
5,2021-06-03,1413.0
6,2021-06-03,3274.0
7,2021-06-03,1990.0
8,2021-06-03,885.0
9,2021-06-03,1448.0
10,2021-06-03,2088.0
1,2021-06-04,1048.0
2,2021-06-04,882.0
3,2021-06-04,1022.0
4,2021-06-04,1209.0
5,2021-06-04,1244.0
6,2021-06-04,3333.0
7,2021-06-04,1970.0
8,2021-06-04,864.0
9,2021-06-04,1463.0
10,2021-06-04,2018.0
1,2021-06-05,1951.0
2,2021-06-05,1766.0
3,2021-06-05,
4,2021-06-05,2199.0
5,2021-06-05,
6,2021-06-05,4895.0
7,2021-06-05,2536.0
8,2021-06-05,
9,2021-06-05,
10,2021-06-05,2473.0
1,2021-06-07,953.0
2,2021-06-07,
3,2021-06-07,1177.0
4,2021-06-07,972.0
5,2021-06-07,1569.0
6,2021-06-07,3551.0
7,2021-06-07,2055.0
8,2021-06-07,916.0
9,2021-06-07,1652.0
10,2021-06-07,2149.0
1,2021-06-08,1085.0
2,2021-06-08,819.0
3,2021-06-08,
4,2021-06-08,1075.0
5,2021-06-08,1331.0
6,2021-06-08,3341.0
7,2021-06-08,1738.0
8,2021-06-08,766.0
9,2021-06-08,1279.0
10,2021-06-08,1767.0
1,2021-06-09,1161.0
2,2021-06-09,973.0
3,2021-06-09,989.0
4,2021-06-09,1034.0
5,2021-06-09,1475.0
6,2021-06-09,3360.0
7,2021-06-09,
8,2021-06-09,889.0
9,2021-06-09,1390.0
10,2021-06-09,1790.0
1,2021-06-10,1209.0
2,2021-06-10,846.0
3,2021-06-10,977.0
4,2021-06-10,949.0
5,2021-06-10,
6,2021-06-10,3402.0
7,2021-06-10,2053.0
8,2021-06-10,770.0
9,2021-06-10,1468.0
10,2021-06-10,1719.0
1,2021-06-11,1073.0
2,2021-06-11,
3,2021-06-11,1049.0
4,2021-06-11,1100.0
5,2021-06-11,1351.0
6,2021-06-11,3364.0
7,2021-06-11,1987.0
8,2021-06-11,826.0
9,2021-06-11,1305.0
10,2021-06-11,1813.0
1,2021-06-12,1944.0
2,2021-06-12,1666.0
3,2021-06-12,1583.0
4,2021-06-12,
5,2021-06-12,2212.0
6,2021-06-12,4698.0
7,2021-06-12,2146.0
8,2021-06-12,1516.0
9,2021-06-12,1984.0
10,2021-06-12,2440.0
1,2021-06-14,1046.0
2,2021-06-14,840.0
3,2021-06-14,1227.0
4,2021-06-14,967.0
5,2021-06-14,1579.0
6,2021-06-14,3434.0
7,2021-06-14,1716.0
8,2021-06-14,875.0
9,2021-06-14,1827.0
10,2021-06-14,1890.0
1,2021-06-15,
2,2021-06-15,903.0
3,2021-06-15,1001.0
4,2021-06-15,856.0
5,2021-06-15,1582.0
6,2021-06-15,3149.0
7,2021-06-15,1538.0
8,2021-06-15,859.0
9,2021-06-15,1511.0
10,2021-06-15,
1,2021-06-16,1096.0
2,2021-06-16,
3,2021-06-16,942.0
4,2021-06-16,722.0
5,2021-06-16,1274.0
6,2021-06-16,2959.0
7,2021-06-16,1686.0
8,2021-06-16,897.0
9,2021-06-16,1647.0
10,2021-06-16,1827.0
1,2021-06-17,1183.0
2,2021-06-17,842.0
3,2021-06-17,939.0
4,2021-06-17,1133.0
5,2021-06-17,1574.0
6,2021-06-17,3267.0
7,2021-06-17,1791.0
8,2021-06-17,997.0
9,2021-06-17,1243.0
10,2021-06-17,2001.0
1,2021-06-18,
2,2021-06-18,1014.0
3,2021-06-18,1058.0
4,2021-06-18,942.0
5,2021-06-18,1601.0
6,2021-06-18,3173.0
7,2021-06-18,
8,2021-06-18,1071.0
9,2021-06-18,1289.0
10,2021-06-18,2111.0
1,2021-06-19,1948.0
2,2021-06-19,1766.0
3,2021-06-19,1624.0
4,2021-06-19,1861.0
5,2021-06-19,2457.0
6,2021-06-19,4794.0
7,2021-06-19,2327.0
8,2021-06-19,1446.0
9,2021-06-19,2242.0
10,2021-06-19,3045.0
1,2021-06-21,1349.0
2,2021-06-21,989.0
3,2021-06-21,1203.0
4,2021-06-21,1132.0
5,2021-06-21,1197.0
6,2021-06-21,3470.0
7,2021-06-21,2081.0
8,2021-06-21,931.0
9,2021-06-21,1656.0
10,2021-06-21,1889.0
1,2021-06-22,
2,2021-06-22,718.0
3,2021-06-22,885.0
4,2021-06-22,961.0
5,2021-06-22,1184.0
6,2021-06-22,3012.0
7,2021-06-22,1866.0
8,2021-06-22,700.0
9,2021-06-22,
10,2021-06-22,1687.0
1,2021-06-23,1053.0
2,2021-06-23,833.0
3,2021-06-23,1020.0
4,2021-06-23,855.0
5,2021-06-23,1140.0
6,2021-06-23,2974.0
7,2021-06-23,1950.0
8,2021-06-23,791.0
9,2021-06-23,
10,2021-06-23,1909.0
1,2021-06-24,1124.0
2,2021-06-24,823.0
3,2021-06-24,1052.0
4,2021-06-24,1006.0
5,2021-06-24,
6,2021-06-24,3158.0
7,2021-06-24,2200.0
8,2021-06-24,960.0
9,2021-06-24,1497.0
10,2021-06-24,2053.0
1,2021-06-25,1116.0
2,2021-06-25,803.0
3,2021-06-25,1135.0
4,2021-06-25,1085.0
5,2021-06-25,1299.0
6,2021-06-25,3005.0
7,2021-06-25,1684.0
8,2021-06-25,936.0
9,2021-06-25,1221.0
10,2021-06-25,1649.0
1,2021-06-26,1608.0
2,2021-06-26,1362.0
3,2021-06-26,1870.0
4,2021-06-26,1585.0
5,2021-06-26,1750.0
6,2021-06-26,4119.0
7,2021-06-26,1164.0
8,2021-06-26,1625.0
9,2021-06-26,2001.0
10,2021-06-26,2169.0
1,2021-06-28,1466.0
2,2021-06-28,815.0
3,2021-06-28,1277.0
4,2021-06-28,1200.0
5,2021-06-28,1514.0
6,2021-06-28,3967.0
7,2021-06-28,
8,2021-06-28,
9,2021-06-28,1889.0
10,2021-06-28,1879.0
1,2021-06-29,1318.0
2,2021-06-29,995.0
3,2021-06-29,1359.0
4,2021-06-29,949.0
5,2021-06-29,1288.0
6,2021-06-29,3794.0
7,2021-06-29,1917.0
8,2021-06-29,
9,2021-06-29,1660.0
10,2021-06-29,2077.0
1,2021-06-30,1266.0
2,2021-06-30,960.0
3,2021-06-30,1002.0
4,2021-06-30,970.0
5,2021-06-30,1323.0
6,2021-06-30,3633.0
7,2021-06-30,1672.0
8,2021-06-30,1163.0
9,2021-06-30,1636.0
10,2021-06-30,
1,2021-07-01,1318.0
2,2021-07-01,1023.0
3,2021-07-01,1332.0
4,2021-07-01,1186.0
5,2021-07-01,1392.0
6,2021-07-01,3573.0
7,2021-07-01,2507.0
8,2021-07-01,1083.0
9,2021-07-01,1803.0
10,2021-07-01,2208.0
1,2021-07-02,
2,2021-07-02,
3,2021-07-02,1211.0
4,2021-07-02,1068.0
5,2021-07-02,1412.0
6,2021-07-02,
7,2021-07-02,2667.0
8,2021-07-02,970.0
9,2021-07-02,1733.0
10,2021-07-02,2270.0
1,2021-07-03,1899.0
2,2021-07-03,1303.0
3,2021-07-03,1751.0
4,2021-07-03,1768.0
5,2021-07-03,2026.0
6,2021-07-03,4409.0
7,2021-07-03,2823.0
8,2021-07-03,1511.0
9,2021-07-03,2046.0
10,2021-07-03,2916.0
1,2021-07-04,2011.0
2,2021-07-04,1843.0
3,2021-07-04,2119.0
4,2021-07-04,
5,2021-07-04,2353.0
6,2021-07-04,4700.0
7,2021-07-04,2607.0
8,2021-07-04,1515.0
9,2021-07-04,2406.0
10,2021-07-04,2611.0
1,2021-07-05,1291.0
2,2021-07-05,806.0
3,2021-07-05,1276.0
4,2021-07-05,830.0
5,2021-07-05,1353.0
6,2021-07-05,3303.0
7,2021-07-05,2403.0
8,2021-07-05,954.0
9,2021-07-05,
10,2021-07-05,2176.0
1,2021-07-06,1507.0
2,2021-07-06,994.0
3,2021-07-06,1290.0
4,2021-07-06,791.0
5,2021-07-06,1604.0
6,2021-07-06,3229.0
7,2021-07-06,2257.0
8,2021-07-06,1021.0
9,2021-07-06,1754.0
10,2021-07-06,2150.0
1,2021-07-07,1349.0
2,2021-07-07,954.0
3,2021-07-07,1384.0
4,2021-07-07,1029.0
5,2021-07-07,1401.0
6,2021-07-07,3249.0
7,2021-07-07,2753.0
8,2021-07-07,939.0
9,2021-07-07,1918.0
10,2021-07-07,2461.0
1,2021-07-08,1392.0
2,2021-07-08,1048.0
3,2021-07-08,1428.0
4,2021-07-08,1001.0
5,2021-07-08,
6,2021-07-08,3306.0
7,2021-07-08,2637.0
8,2021-07-08,1040.0
9,2021-07-08,2031.0
10,2021-07-08,2360.0
1,2021-07-09,1372.0
2,2021-07-09,971.0
3,2021-07-09,1589.0
4,2021-07-09,1058.0
5,2021-07-09,1612.0
6,2021-07-09,3440.0
7,2021-07-09,2389.0
8,2021-07-09,1127.0
9,2021-07-09,1836.0
10,2021-07-09,2417.0
1,2021-07-10,1852.0
2,2021-07-10,1505.0
3,2021-07-10,1782.0
4,2021-07-10,1595.0
5,2021-07-10,2074.0
6,2021-07-10,4695.0
7,2021-07-10,
8,2021-07-10,1717.0
9,2021-07-10,2308.0
10,2021-07-10,3062.0
1,2021-07-11,2133.0
2,2021-07-11,1849.0
3,2021-07-11,2524.0
4,2021-07-11,1901.0
5,2021-07-11,2493.0
6,2021-07-11,5019.0
7,2021-07-11,2729.0
8,2021-07-11,1729.0
9,2021-07-11,2903.0
10,2021-07-11,2725.0
1,2021-07-12,
2,2021-07-12,954.0
3,2021-07-12,
4,2021-07-12,1101.0
5,2021-07-12,
6,2021-07-12,3853.0
7,2021-07-12,2364.0
8,2021-07-12,1076.0
9,2021-07-12,2026.0
10,2021-07-12,2684.0
1,2021-07-13,1651.0
2,2021-07-13,1026.0
3,2021-07-13,1653.0
4,2021-07-13,997.0
5,2021-07-13,1537.0
6,2021-07-13,
7,2021-07-13,2495.0
8,2021-07-13,1351.0
9,2021-07-13,1787.0
